# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"9_ESz9UA6Y","[""John_6_1.mp4""]",2.275,16.08567,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_yzSDV1oM","[""John_6_1.mp4""]",23.29375,26.47382,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_ZVzdRBXr","[""John_6_1.mp4""]",29.127,30.80781,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_yiXsModW","[""John_6_1.mp4""]",42.269,46.978,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_7nwPwCGn","[""John_6_1.mp4""]",74.344,75.344,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_zstcLXWE","[""John_6_1.mp4""]",87.502,94.66469,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_M9RdQGFC","[""John_6_1.mp4""]",98.684,103.29904,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_9Xnajyu6","[""John_6_1.mp4""]",118.931,122.86468,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_REJMp5CW","[""John_6_1.mp4""]",151.676,154.90082,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_djgQZHCI","[""John_6_1.mp4""]",165.211,168.23501,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_AOdDO4Vk","[""John_6_1.mp4""]",169.877,172.6111,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_BqJX3GqX","[""John_6_1.mp4""]",195.593,199.38413,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_qpGXMAmp","[""John_6_1.mp4""]",221.387,227.2344,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_LO1lMCsv","[""John_6_1.mp4""]",238.402,243.72796,"{""TEMPORAL-SEGMENTS"":""default""}"
"9_l2SB3nv4","[""John_6_1.mp4""]",279.291,289.88436,"{""TEMPORAL-SEGMENTS"":""default""}"
