# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"6_jui1jLpB","[""John_4_2.mp4""]",697.333,706.50208,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_9la1b8Ox","[""John_4_2.mp4""]",729.421,731.39669,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_cXdWdX6e","[""John_4_2.mp4""]",734.231,736.86753,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_TymT5Pu1","[""John_4_2.mp4""]",738.853,742.8866,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_43tAx1xm","[""John_4_2.mp4""]",745.144,746.39184,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_6yBzHZyS","[""John_4_2.mp4""]",771.384,775.60625,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_3svezvqR","[""John_4_2.mp4""]",783.29375,785.66471,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_ugFwYtA3","[""John_4_2.mp4""]",792.29375,794.30806,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_qXn2LCQz","[""John_4_2.mp4""]",815.01,817.20246,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_rZSFjq7f","[""John_4_2.mp4""]",902.502,906.09839,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_HeD2Vi9X","[""John_4_2.mp4""]",909.821,912.22596,"{""TEMPORAL-SEGMENTS"":""default""}"
"6_sah1jt5R","[""John_4_2.mp4""]",928.17,930.53717,"{""TEMPORAL-SEGMENTS"":""default""}"
